Water Pump ID,Distance to Nearest Town,Population Served,Installation Year,Water Pump Age,GPS Coordinates,Functioning Status,Water Source Type_['Borehole'],Water Source Type_['Lake'],Water Source Type_['River'],Water Source Type_['Well'],Water Quality_['Clean'],Water Quality_['Contaminated'],Funder_['Oxfam'],Funder_['Red Cross'],Funder_['UNICEF'],Funder_['USAID'],Funder_['World Bank'],Payment Type_['Free'],Payment Type_['Pay per use'],Pump Type_['Hand Pump'],Pump Type_['Motorized Pump'],Pump Type_['Solar Pump']
0,0.5294352341986779,-0.7375073628558495,0.3109946523234135,-0.3109946523234083,"(-17.942320739100097, 19.590746630360105)",1,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False
1,-1.5010869137607064,-1.8422489783413465,0.42446340295110035,-0.42446340295109514,"(-20.261819627668434, 21.92318375357211)",0,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False
2,-0.05071395093257474,-0.0010129525321847855,-0.029411599559647,0.029411599559652238,"(-23.643947890751747, 22.996280842486023)",0,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False
3,0.31187928977445817,0.7354814577914799,0.19752590169572667,-0.19752590169572143,"(-18.116801433155366, 20.136925350142157)",0,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False
4,1.3996590118955567,-0.0010129525321847855,-0.029411599559647,0.029411599559652238,"(-22.74537655976869, 23.51554216835426)",1,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False
5,0.09432334535023841,1.4719758681151445,-0.25634910081502066,0.25634910081502593,"(-21.814624314727066, 24.337899192657083)",0,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False
6,0.23936064163305157,-0.7375073628558495,-1.0506303552088285,1.0506303552088339,"(-19.745765654991544, 20.15950751835736)",1,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False
7,-1.0659750249122668,-0.0010129525321847855,-0.25634910081502066,0.25634910081502593,"(-21.182499488737548, 20.643218043321696)",0,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False
8,-0.12323259907398132,-0.0010129525321847855,1.5591509092279687,-1.5591509092279636,"(-23.82467208176131, 28.190026662953706)",0,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False
9,-0.9934563767708603,-1.474001773179514,0.9918071560895345,-0.9918071560895293,"(-21.96848896344394, 28.308370255099813)",0,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False
10,0.23936064163305157,-0.3692601576940171,0.08405715106803985,-0.0840571510680346,"(-23.039104184290203, 21.230281504216116)",1,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False
